date,symbol,name,previous_shares,current_shares,change_shares,previous_weight_percent,current_weight_percent,status
2026-09-17,1303.TW,南亞,5445000,5445000,0,3.06,3.24,unchanged
2026-09-17,1815.TW,富喬,11420868,11420868,0,3.4,3.23,unchanged
2026-09-17,2059.TW,川湖,205000,205000,0,6.2,6.36,unchanged
2026-09-17,2301.TW,光寶科,659000,659000,0,0.46,0.46,unchanged
2026-09-17,2330.TW,台積電,1116000,1116000,0,6.66,6.83,unchanged
2026-09-17,2345.TW,智邦,1074000,1074000,0,4.96,4.88,unchanged
2026-09-17,2357.TW,華碩,196000,196000,0,0.46,0.47,unchanged
2026-09-17,2360.TW,致茂,76000,76000,0,0.4,0.4,unchanged
2026-09-17,2376.TW,技嘉,508000,508000,0,0.45,0.46,unchanged
2026-09-17,2383.TW,台光電,465000,465000,0,5.93,5.51,unchanged
2026-09-17,2404.TW,漢唐,155000,155000,0,0.4,0.4,unchanged
2026-09-17,2454.TW,聯發科,145000,145000,0,1.65,1.65,unchanged
2026-09-17,2455.TW,全新,2150000,1700000,-450000,2.78,2.29,decreased
2026-09-17,3008.TW,大立光,293000,293000,0,4.58,4.45,unchanged
2026-09-17,3017.TW,奇鋐,1001000,1001000,0,7.97,8.05,unchanged
2026-09-17,3026.TW,禾伸堂,261000,261000,0,0.51,0.5,unchanged
2026-09-17,3037.TW,欣興,2482000,2482000,0,5.98,5.89,unchanged
2026-09-17,3081.TW,聯亞,63000,63000,0,0.44,0.43,unchanged
2026-09-17,3189.TW,景碩,844013,844013,0,1.74,1.72,unchanged
2026-09-17,3231.TW,緯創,7245000,7245000,0,3.33,3.41,unchanged
2026-09-17,3443.TW,創意,164000,164000,0,2.54,2.69,unchanged
2026-09-17,3653.TW,健策,33000,33000,0,0.43,0.45,unchanged
2026-09-17,3661.TW,世芯-KY,215000,0,-215000,1.8,,removed
2026-09-17,3665.TW,貿聯-KY,1161000,1161000,0,5.81,5.89,unchanged
2026-09-17,3711.TW,日月光投控,250000,250000,0,0.38,0.39,unchanged
2026-09-17,4958.TW,臻鼎-KY,1000000,1000000,0,1.24,1.2,unchanged
2026-09-17,5274.TW,信驊,11000,11000,0,0.5,0.51,unchanged
2026-09-17,5289.TW,宜鼎,99952,99952,0,0.32,0.32,unchanged
2026-09-17,5347.TW,世界,629000,629000,0,0.25,0.26,unchanged
2026-09-17,6139.TW,亞翔,250000,250000,0,0.44,0.44,unchanged
2026-09-17,6187.TW,萬潤,134000,134000,0,0.41,0.41,unchanged
2026-09-17,6213.TW,聯茂,373000,373000,0,0.51,0.47,unchanged
2026-09-17,6223.TW,旺矽,268000,268000,0,3.77,3.72,unchanged
2026-09-17,6274.TW,台燿,113000,113000,0,0.4,0.38,unchanged
2026-09-17,6515.TW,穎崴,51000,51000,0,0.79,0.79,unchanged
2026-09-17,6584.TW,南俊國際,2231000,2231000,0,3.11,3.1,unchanged
2026-09-17,6669.TW,緯穎,429675,429675,0,2.33,2.32,unchanged
2026-09-17,8021.TW,尖點,2682000,2682000,0,2.96,3.05,unchanged
2026-09-17,8046.TW,南電,968000,968000,0,2.68,2.6,unchanged
2026-09-17,8150.TW,南茂,1957000,1957000,0,0.43,0.43,unchanged
2026-09-17,8996.TW,高力,1630000,1630000,0,5.32,5.35,unchanged
