date,symbol,name,previous_shares,current_shares,change_shares,previous_weight_percent,current_weight_percent,status
2026-09-15,1216.TW,統一,1000,1000,0,0.0,0.0,unchanged
2026-09-15,2059.TW,川湖,500000,500000,0,7.81,7.79,unchanged
2026-09-15,2303.TW,聯電,9000,9000,0,0.0,0.0,unchanged
2026-09-15,2308.TW,台達電,1000,1000,0,0.0,0.0,unchanged
2026-09-15,2313.TW,華通,1253,1253,0,0.0,0.0,unchanged
2026-09-15,2317.TW,鴻海,9000,9000,0,0.0,0.0,unchanged
2026-09-15,2327.TW,國巨*,7500000,7500000,0,5.33,5.35,unchanged
2026-09-15,2330.TW,台積電,3800000,3800000,0,11.79,12.05,unchanged
2026-09-15,2345.TW,智邦,1100000,1100000,0,2.69,2.69,unchanged
2026-09-15,2357.TW,華碩,1000,1000,0,0.0,0.0,unchanged
2026-09-15,2360.TW,致茂,1000,1000,0,0.0,0.0,unchanged
2026-09-15,2379.TW,瑞昱,1000,1000,0,0.0,0.0,unchanged
2026-09-15,2382.TW,廣達,9000,9000,0,0.0,0.0,unchanged
2026-09-15,2383.TW,台光電,1380000,1380000,0,9.62,9.38,unchanged
2026-09-15,2408.TW,南亞科,13800000,13800000,0,8.51,8.54,unchanged
2026-09-15,2412.TW,中華電,1000,1000,0,0.0,0.0,unchanged
2026-09-15,2449.TW,京元電子,1450,1450,0,0.0,0.0,unchanged
2026-09-15,2454.TW,聯發科,1000000,1000000,0,5.94,5.89,unchanged
2026-09-15,2603.TW,長榮,9000,9000,0,0.0,0.0,unchanged
2026-09-15,2880.TW,華南金,9090,9090,0,0.0,0.0,unchanged
2026-09-15,2881.TW,富邦金,9000,9000,0,0.0,0.0,unchanged
2026-09-15,2882.TW,國泰金,9000,9000,0,0.0,0.0,unchanged
2026-09-15,2883.TW,凱基金,9000,9000,0,0.0,0.0,unchanged
2026-09-15,2884.TW,玉山金,9000,9000,0,0.0,0.0,unchanged
2026-09-15,2885.TW,元大金,9360,9360,0,0.0,0.0,unchanged
2026-09-15,2886.TW,兆豐金,9000,9000,0,0.0,0.0,unchanged
2026-09-15,2887.TW,台新新光金,9000,9000,0,0.0,0.0,unchanged
2026-09-15,2890.TW,永豐金,9000,9000,0,0.0,0.0,unchanged
2026-09-15,2891.TW,中信金,9000,9000,0,0.0,0.0,unchanged
2026-09-15,2912.TW,統一超,1000,1000,0,0.0,0.0,unchanged
2026-09-15,3008.TW,大立光,1000,1000,0,0.01,0.01,unchanged
2026-09-15,3017.TW,奇鋐,1250000,1250000,0,5.39,5.18,unchanged
2026-09-15,3026.TW,禾伸堂,2700000,2700000,0,2.57,2.61,unchanged
2026-09-15,3036.TW,文曄,1000,1000,0,0.0,0.0,unchanged
2026-09-15,3037.TW,欣興,5100000,5100000,0,6.45,6.45,unchanged
2026-09-15,3044.TW,健鼎,1000,1000,0,0.0,0.0,unchanged
2026-09-15,3081.TW,聯亞,900000,900000,0,3.22,3.2,unchanged
2026-09-15,3189.TW,景碩,4250000,4250000,0,4.42,4.49,unchanged
2026-09-15,3231.TW,緯創,9000,9000,0,0.0,0.0,unchanged
2026-09-15,3653.TW,健策,340000,340000,0,2.58,2.4,unchanged
2026-09-15,3665.TW,貿聯-KY,1000,1000,0,0.0,0.0,unchanged
2026-09-15,3711.TW,日月光投控,2500000,2500000,0,1.99,1.97,unchanged
2026-09-15,5274.TW,信驊,140500,140500,0,3.29,3.27,unchanged
2026-09-15,5347.TW,世界,9000,9000,0,0.0,0.0,unchanged
2026-09-15,6223.TW,旺矽,450000,450000,0,3.28,3.25,unchanged
2026-09-15,6274.TW,台燿,1500000,1500000,0,2.76,2.73,unchanged
2026-09-15,6669.TW,緯穎,1500020,1500020,0,4.44,4.62,unchanged
2026-09-15,7769.TW,鴻勁,250000,250000,0,2.06,2.04,unchanged
2026-09-15,8046.TW,南電,3300000,3300000,0,4.54,4.76,unchanged
2026-09-15,8299.TW,群聯,1000,1000,0,0.0,0.0,unchanged
