date,symbol,name,previous_shares,current_shares,change_shares,previous_weight_percent,current_weight_percent,status
2026-09-16,1303.TW,南亞,13500000,13500000,0,2.01,2.01,unchanged
2026-09-16,1560.TW,中砂,191000,191000,0,0.09,0.09,unchanged
2026-09-16,1717.TW,長興,1500000,1500000,0,0.07,0.07,unchanged
2026-09-16,2049.TW,上銀,1000,1000,0,0.0,0.0,unchanged
2026-09-16,2059.TW,川湖,35000,45000,10000,0.28,0.36,increased
2026-09-16,2301.TW,光寶科,300000,300000,0,0.06,0.06,unchanged
2026-09-16,2303.TW,聯電,55000000,55000000,0,5.12,5.2,unchanged
2026-09-16,2308.TW,台達電,2750000,2750000,0,3.09,3.13,unchanged
2026-09-16,2317.TW,鴻海,3200000,3200000,0,0.53,0.53,unchanged
2026-09-16,2327.TW,國巨*,8000000,8000000,0,2.89,2.85,unchanged
2026-09-16,2330.TW,台積電,9800000,9800000,0,15.71,15.52,unchanged
2026-09-16,2337.TW,旺宏,1000,1000,0,0.0,0.0,unchanged
2026-09-16,2344.TW,華邦電,1000,1000,0,0.0,0.0,unchanged
2026-09-16,2345.TW,智邦,2307000,2307000,0,2.85,2.82,unchanged
2026-09-16,2360.TW,致茂,1000000,1000000,0,1.4,1.39,unchanged
2026-09-16,2383.TW,台光電,1600000,1600000,0,5.5,5.41,unchanged
2026-09-16,2404.TW,漢唐,250000,250000,0,0.17,0.17,unchanged
2026-09-16,2408.TW,南亞科,0,760000,760000,,0.25,added
2026-09-16,2449.TW,京元電子,2600000,2600000,0,0.45,0.45,unchanged
2026-09-16,2454.TW,聯發科,2210000,2210000,0,6.58,6.66,unchanged
2026-09-16,2455.TW,全新,386000,386000,0,0.13,0.13,unchanged
2026-09-16,2481.TW,強茂,3000000,3000000,0,0.31,0.34,unchanged
2026-09-16,2882.TW,國泰金,4000000,4000000,0,0.3,0.3,unchanged
2026-09-16,3008.TW,大立光,380000,380000,0,1.55,1.57,unchanged
2026-09-16,3017.TW,奇鋐,2850000,2850000,0,5.97,6.02,unchanged
2026-09-16,3037.TW,欣興,8460000,8460000,0,5.41,5.41,unchanged
2026-09-16,3189.TW,景碩,3700000,3850000,150000,1.98,2.1,increased
2026-09-16,3211.TW,順達,2000000,2000000,0,0.49,0.49,unchanged
2026-09-16,3264.TW,欣銓,700000,700000,0,0.1,0.1,unchanged
2026-09-16,3443.TW,創意,620000,620000,0,2.51,2.55,unchanged
2026-09-16,3450.TW,聯鈞,1100000,1102000,2000,0.36,0.4,increased
2026-09-16,3533.TW,嘉澤,200000,160000,-40000,0.2,0.16,decreased
2026-09-16,3583.TW,辛耘,800000,800000,0,0.36,0.36,unchanged
2026-09-16,3653.TW,健策,1115000,1115000,0,3.98,3.89,unchanged
2026-09-16,3665.TW,貿聯-KY,1293000,1293000,0,1.72,1.72,unchanged
2026-09-16,3711.TW,日月光投控,1000000,1000000,0,0.4,0.4,unchanged
2026-09-16,5274.TW,信驊,120500,120500,0,1.42,1.46,unchanged
2026-09-16,6196.TW,帆宣,1000,1000,0,0.0,0.0,unchanged
2026-09-16,6223.TW,旺矽,1100000,1100000,0,4.02,4.1,unchanged
2026-09-16,6239.TW,力成,5360000,5360000,0,0.97,0.98,unchanged
2026-09-16,6274.TW,台燿,1900000,1900000,0,1.75,1.79,unchanged
2026-09-16,6285.TW,啟碁,350000,350000,0,0.05,0.05,unchanged
2026-09-16,6442.TW,光聖,350000,350000,0,0.36,0.37,unchanged
2026-09-16,6488.TW,環球晶,2800000,2800000,0,1.72,1.75,unchanged
2026-09-16,6669.TW,緯穎,1987956,1987956,0,3.09,2.86,unchanged
2026-09-16,6805.TW,富世達,760000,760000,0,1.03,1.03,unchanged
2026-09-16,7769.TW,鴻勁,130000,130000,0,0.54,0.53,unchanged
2026-09-16,8046.TW,南電,2770000,2770000,0,2.02,2.04,unchanged
2026-09-16,8299.TW,群聯,1000,1000,0,0.0,0.0,unchanged
2026-09-16,8358.TW,金居,100000,100000,0,0.03,0.03,unchanged
2026-09-16,8996.TW,高力,1580000,1580000,0,1.3,1.37,unchanged
