date,symbol,name,weight_percent,shares
2026-08-18,2330.TW,台積電,13.25,5000000
2026-08-18,2383.TW,台光電,9.88,1430000
2026-08-18,2408.TW,南亞科,8.03,14000000
2026-08-18,2059.TW,川湖,8.0,500000
2026-08-18,3037.TW,欣興,6.38,5000000
2026-08-18,2327.TW,國巨*,4.94,7700000
2026-08-18,2454.TW,聯發科,4.76,1100000
2026-08-18,2345.TW,智邦,4.46,1800000
2026-08-18,6669.TW,緯穎,4.28,600000
2026-08-18,8046.TW,南電,4.16,3000000
2026-08-18,3017.TW,奇鋐,4.06,1200000
2026-08-18,6274.TW,台燿,3.96,2300000
2026-08-18,6223.TW,旺矽,3.87,660000
2026-08-18,3189.TW,景碩,3.47,3600000
2026-08-18,7769.TW,鴻勁,2.91,400000
2026-08-18,5274.TW,信驊,2.29,120500
2026-08-18,8299.TW,群聯,2.23,1000000
2026-08-18,3081.TW,聯亞,2.15,660000
2026-08-18,3026.TW,禾伸堂,2.01,2700000
2026-08-18,3711.TW,日月光投控,1.93,2900000
2026-08-18,3653.TW,健策,1.32,230000
2026-08-18,3008.TW,大立光,0.01,1000
2026-08-18,2360.TW,致茂,0.0,1000
2026-08-18,2382.TW,廣達,0.0,9000
2026-08-18,2603.TW,長榮,0.0,9000
2026-08-18,2308.TW,台達電,0.0,1000
2026-08-18,2317.TW,鴻海,0.0,9000
2026-08-18,3665.TW,貿聯-KY,0.0,1000
2026-08-18,3231.TW,緯創,0.0,9000
2026-08-18,5347.TW,世界,0.0,9000
2026-08-18,2379.TW,瑞昱,0.0,1000
2026-08-18,2357.TW,華碩,0.0,1000
2026-08-18,2404.TW,漢唐,0.0,1000
2026-08-18,3044.TW,健鼎,0.0,1000
2026-08-18,2891.TW,中信金,0.0,9000
2026-08-18,2881.TW,富邦金,0.0,9000
2026-08-18,2882.TW,國泰金,0.0,9000
2026-08-18,2885.TW,元大金,0.0,9360
2026-08-18,2886.TW,兆豐金,0.0,9000
2026-08-18,2887.TW,台新新光金,0.0,9000
2026-08-18,2890.TW,永豐金,0.0,9000
2026-08-18,2883.TW,凱基金,0.0,9000
2026-08-18,2884.TW,玉山金,0.0,9000
2026-08-18,2912.TW,統一超,0.0,1000
2026-08-18,3036.TW,文曄,0.0,1000
2026-08-18,2880.TW,華南金,0.0,9090
2026-08-18,2412.TW,中華電,0.0,1000
2026-08-18,2449.TW,京元電子,0.0,1450
2026-08-18,1216.TW,統一,0.0,1000
2026-08-18,2313.TW,華通,0.0,1253
